tanggal,nama_pasar,item_barang,jumlah,kebutuhan,satuan_item
2024-01-01,Pasar Buahdua,Beras Medium,30,20,kg
2024-01-01,Pasar Buahdua,Gula Pasir,100,55,kg
2024-01-01,Pasar Buahdua,Daging Ayam Ras,300,260,kg
2024-01-01,Pasar Buahdua,Telur Ayam Ras,40,30,kg
2024-01-01,Pasar Buahdua,Cabe Merah Keriting,10,5,kg
2024-01-01,Pasar Buahdua,Cabe Merah Biasa,7,3,kg
2024-01-01,Pasar Buahdua,Cabe Rawit Merah Domba,12,8,kg
2024-01-01,Pasar Buahdua,Cabe Rawit Hijau,10,5,kg
2024-01-01,Pasar Buahdua,Bawang Merah,10,7,kg
2024-01-01,Pasar Buahdua,Bawang Putih,8,4,kg
2024-01-01,Pasar Buahdua,Garam Beryodium Halus Kemasan,50,30,kg
2024-01-01,Pasar Buahdua,Kacang Kedelai Impor,8,2,kg
2024-01-01,Pasar Buahdua,Kacang Tanah,8,4,kg
2024-01-01,Pasar Buahdua,Kacang Hijau,10,5,kg
2024-01-01,Pasar Buahdua,Ubi Jalar,23,21,kg
2024-01-01,Pasar Buahdua,Kentang,40,30,kg
2024-01-01,Pasar Buahdua,Terigu non Kemasan,100,55,kg
2024-01-01,Pasar Buahdua,Tempe,20,15,Kg
2024-01-01,Pasar Buahdua,tahu,20,18,Kg
2024-01-01,Pasar Buahdua,jeruk,25,20,Kg
2024-01-01,Pasar Inpres,Beras Premium,1000,500,kg
2024-01-01,Pasar Inpres,Beras Medium,1000,550,kg
2024-01-01,Pasar Inpres,Gula Pasir,1000,160,kg
2024-01-01,Pasar Inpres,Daging Sapi Murni,900,600,kg
2024-01-01,Pasar Inpres,Daging Ayam Ras,1500,1250,kg
2024-01-01,Pasar Inpres,Telur Ayam Ras,5000,1050,kg
2024-01-01,Pasar Inpres,Cabe Merah Keriting,300,90,kg
2024-01-01,Pasar Inpres,Cabe Merah Biasa,300,55,kg
2024-01-01,Pasar Inpres,Cabe Rawit Merah Domba,300,100,kg
2024-01-01,Pasar Inpres,Cabe Rawit Hijau,300,130,kg
2024-01-01,Pasar Inpres,Bawang Merah,500,108,kg
2024-01-01,Pasar Inpres,Bawang Putih,0,0,kg
2024-01-01,Pasar Inpres,Garam Beryodium Halus Kemasan,0,0,kg
2024-01-01,Pasar Inpres,Kacang Kedelai Impor,0,0,kg
2024-01-01,Pasar Inpres,Kacang Tanah,0,0,kg
2024-01-01,Pasar Inpres,Kacang Hijau,0,0,kg
2024-01-01,Pasar Inpres,Ikan Asin Teri,0,0,kg
2024-01-01,Pasar Inpres,Ikan Kembung,0,0,kg
2024-01-01,Pasar Inpres,Ketela Pohon,0,0,kg
2024-01-01,Pasar Inpres,Ubi Jalar,0,0,kg
